Playing Time,Performance,Expected,Progression,Per 90 Minutes,,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Simon Adingra,ci CIV,FW,Brighton,22-241,2002,2,0,47,0.5,1,1,2,1,0,0,0,0,0.3,0.3,0.5,0.7,2,0,10,1.91,1.91,3.83,1.91,3.83,0.49,0.88,1.37,0.49,1.37,Matches,,,,,,,
Ola Aina,ng NGA,DF,Nott'ham Forest,27-326,1996,2,2,143,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,5,9,3,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,Matches,,,,,,,
Rayan Aït-Nouri,dz ALG,DF,Wolves,23-084,2001,2,2,149,1.7,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.5,1,9,3,0.00,0.60,0.60,0.00,0.60,0.05,0.27,0.32,0.05,0.32,Matches,,,,,,,
Kristoffer Ajer,no NOR,DF,Brentford,26-134,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,3,7,3,0.00,0.00,0.00,0.00,0.00,0.14,0.01,0.15,0.14,0.15,Matches,,,,,,,
Manuel Akanji,ch SUI,DF,Manchester City,29-041,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,17,1,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,,,,,,,
Carlos Alcaraz,ar ARG,MF,Southampton,21-273,2002,1,0,10,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0.00,0.00,0.00,0.00,0.00,0.62,0.86,1.48,0.62,1.48,Matches,,,,,,,
Trent Alexander-Arnold,eng ENG,DF,Liverpool,25-327,1998,2,2,147,1.6,0,0,0,0,0,0,0,0,0.2,0.2,1.2,1.4,5,13,7,0.00,0.00,0.00,0.00,0.00,0.10,0.75,0.85,0.10,0.85,Matches,,,,,,,
Alisson,br BRA,GK,Liverpool,31-332,1992,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Miguel Almirón,py PAR,FW,Newcastle Utd,30-201,1994,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Edson Álvarez,mx MEX,MF,West Ham,26-310,1997,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,,,,,,,
Samuel Amo-Ameyaw,eng ENG,DF,Southampton,18-042,2006,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.18,0.62,0.80,0.18,0.80,Matches,,,,,,,
Joachim Andersen,dk DEN,DF,Crystal Palace,28-090,1996,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,4,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,,,,,,,
Elliot Anderson,sct SCO,"MF,FW",Nott'ham Forest,21-297,2002,2,1,92,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,4,4,5,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches,,,,,,,
Michail Antonio,jm JAM,FW,West Ham,34-154,1990,2,2,133,1.5,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,3,2,7,0.00,0.00,0.00,0.00,0.00,0.48,0.00,0.48,0.48,0.48,Matches,,,,,,,
Antony,br BRA,FW,Manchester Utd,24-187,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,6.28,6.28,0.00,6.28,Matches,,,,,,,
Julian Araujo,mx MEX,DF,Bournemouth,23-016,2001,2,1,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,,,,,,,
Cameron Archer,eng ENG,FW,Southampton,23-039,2001,2,0,39,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,1,4,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.45,0.45,0.45,Matches,,,,,,,
